id,sentence,labels
1754,For registration and further information please contact Ms Natalie Ulrich Permanent Mission of Switzerland e mail natalie ulrich eda admin ch UNU Worldwide in New York Series on Coping with global environmental change disasters and security organized by the United Nations University Office in New York UNU-ONY Wednesday 23 March 2011 from 1 15 to 2 30 p.m. in Conference Room 8 General Assembly Building,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O B-short O O O O O O O
1755,United Nations Transitional Administration in East Timor UNTAET United Nations Observer Mission in the Democratic Republic of the Congo MONUC United Nations Peacekeeping Force in Cyprus UNFICYP c United Nations Mission in Ethiopia and Eritrea UNMEE,B-long I-long I-long I-long I-long I-long I-long B-short B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short B-long I-long I-long I-long I-long I-long B-short O B-long I-long I-long I-long I-long I-long I-long B-short
1756,UNDP Joana Merlin Scholtes CORE OAU Ahcene Fzeri CSC European Community Alvaro Neves da Silva CORE DENMARK Stig Barlyng CORE,B-short O O O B-short B-short O O B-short O O O O O O B-short O O O B-short
1757,that are aimed at producing global knowledge goods and services The International Policy Centre for Inclusive Growth IPC-IG a centre of excellence co sponsored by UNDP and the Government of Brazil has focused on delivering high quality knowledge products and supporting dialogue on issues of inequality inclusive development and social protection to its network of over 30 000 policymakers and development practitioners across 189 countries,O O O O O O O O O O O B-long I-long I-long I-long I-long I-long B-short O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1758,Annex FRAUD REPORT FORM FRF 1 This FRF has been developed by the TIRExB with the aim to facilitate the dissemination of fraud related information among authorized TIR Customs Focal Points as well as with dedicated other recipients,O B-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1759,In considering the issue of phasing out CFCs in metereddose inhalers the Committee may wish to note that Bangladesh is one of the eight Parties operating under paragraph 1 of Article 5 that submitted essential use nominations for CFC metered dose inhalers for 2010 In discussing Bangladesh s essential use nomination in its May 2009 progress report the Medical Technical Options Committee of the Technology and Economic Assessment Panel notes that there are three domestic companies with manufacturing plants in the country one of which dominates with about 70 per cent of production and is currently the only manufacturer supplying hydrofluorocarbon HFC based metereddose inhalers,O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long B-short O O O
1760,Department of Peace keeping Operations training for military civilian police XB 200 000 200 000 French language support programme XB 24 000 24 000 a RB regular budget,O O O O O O O O O O B-short O O O O O O O O B-short O O O O O B-short B-long I-long
1761,Some 6 to 7 per cent of European Union gross domestic product GDP relied on services provided by global navigation satellite systems in that regard Galileo would provide new business opportunities in a wide variety of applications in many economic sectors In recent years market development had been a major focus of the European Global Navigation Satellite System GNSS Agency GSA which would assume responsibility for operating the Galileo system,O O O O O O O O O B-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long B-short O B-short O O O O O O O O O
1762,45 The Human Poverty Indicator-2 HPI-2 as devised by UNDP measures human and income poverty in rich industrialized nations,O O B-long I-long I-long B-short O O O O O O O O O O O O O
1763,United Nations Office for Project Services United Nations Population Fund United Nations Entity for Gender Equality and the Empowerment of Women UN-Women United Nations Capital Development Fund,O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O
1764,Many animal diseases including insect transmitted diseases that also affect human health are expected to become widespread in the absence of immediate preventive measures These include foot-and-mouth disease FMD sheep pox goat pox small ruminant pest rhinitis infectious bovine rhinotecheitis IBR ephemeral fever brucellosis tuberculosis anthrax theileriasis bovine mycoplasmal mastitis and Crimean-Congo haemorrhagic fever CCHF,O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long B-short O O O O O O O O B-long I-long I-long B-short O O O O O O O O O O B-long I-long I-long B-short
1765,14 With respect to the Kosovo Serb community the representatives of the Serb National Council of Gracanica SNC-G view the recent changes as having created the conditions for a constructive political dialogue on the future of Kosovo and have continued to support UNMIK in its mandate to create institutions for substantial autonomy in the province,O O O O O O O O O O O O B-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O
1766,Chilled frozen or deep frozen with or without packaging Cuts chilled Individually wrapped I.W. Bulk packaged plastic or wax lined container Vacuum-packed VAC,O O O O O O O O O O O B-long I-long B-short O O O O O O O B-long B-short
1767,This disharmony in classification between RID ADR ADN and IMDG Code will lead to confusion and will delay the international harmonization aimed for by GHS and the UN Recommendations It may prompt European industry into classifying such substances as dangerous goods of UN 3077 or UN 3082 for all modes of transport which is allowed by Special Provisions 909 of the IMDG Code A97 of the International Civil Aviation Organization s Technical Instructions International Air Transport Association s Dangerous Goods Regulations and 146 of the United States'Code of Federal Regulations 49 CFR49 even if they do not meet the criteria of environmentally hazardous substances according to these regulations but this may not be in line with all non European overland modal regulations,O O O O O B-short B-short B-short O B-short O O O O O O O O O O O O O O B-short O O B-short O O O O O O O O O O O O O O B-short O O B-short O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1768,20 The Secretary General informed the Security Council that he shared the concerns that had been expressed by the Office of the United Nations High Commissioner for Human Rights OHCHR and the Special Rapporteur on torture about the use of a military court to try civilians and the failure to investigate allegations of torture and ill treatment including sexual violence during the prisoners pre trial detention,O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1769,The workshop was attended by 40 experts from the following Parties to the Convention Austria Belgium Denmark Finland France Germany Italy the Netherlands Poland Sweden Switzerland and the United Kingdom The European Commission the International Cooperative Programme ICP on Forests ICP Waters ICP Vegetation the EMEP Meteorological Synthesizing Centre West MSC-W and the UNECE secretariat were represented,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long B-short O O B-short B-short O O B-short B-long I-long I-long I-long B-short O O B-short O O O
1770,UNEP also contributed and I personally attended the two day General Assembly thematic debate on climate change earlier this month reinforcing the political momentum for a global agreement by 2009 Green economy glimpsed through the lens of Global Environment Outlook-4 GEO-4 58,B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long B-short O
1771,1 212 842 8223 Special concert in celebration of the International Day of Nowruz co sponsored by the Permanent Mission of Turkey and the International Organization of Turkic Culture TÜRKSOY Thursday 24 March 2011 at 6 p.m. in the General Assembly Hall,O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long B-short O O O O O O B-short O O O O O
1772,E/CN 6 2013 2 E/CN 6 2013 3 E/CN 6 2013 4 E/CN 6 2013 5 E/CN 6 2013 6 E/CN 6 2013 7 E/CN 6 2013 8 A/HRC 23 17 E/CN 6 2013 9 E/CN 6 2013 10 E/CN 6 2013 NGO 1 E/CN 6 2013 NGO 3 E/CN 6 2013 NGO 4 E/CN 6 2013 NGO 5 E/CN 6 2013 NGO 6 E/CN 6 2013 NGO 7 E/CN 6 2013 NGO 8 E/CN 6 2013 NGO 9 E/CN 6 2013 NGO 10 E/CN 6 2013 NGO 11 E/CN 6 2013 NGO 12 E/CN 6 2013 NGO 13 E/CN 6 2013 NGO 14 E/CN 6 2013 NGO 15 E/CN 6 2013 NGO 16 E/CN 6 2013 NGO 17 E/CN 6 2013 NGO 18 E/CN 6 2013 NGO 19 E/CN 6 2013 NGO 20 E/CN 6 2013 NGO 21 E/CN 6 2013 NGO 22 E/CN 6 2013 NGO 23 E/CN 6 2013 NGO 24 E/CN 6 2013 NGO 25 E CN 6 2013 NGO 26 E CN 6 2013 NGO 27 E CN 6 2013 NGO 28 E CN 6 2013 NGO 29 E CN 6 2013 NGO 30 E CN 6 2013 NGO 31 E CN 6 2013 NGO 32 E CN 6 2013 NGO 33 E CN 6 2013 NGO 34 E CN 6 2013 NGO 35 E CN 6 2013 NGO 36 E CN 6 2013 NGO 37 E CN 6 2013 NGO 38 E CN 6 2013 NGO 39 E CN 6 2013 NGO 40 E CN 6 2013 NGO 41 E CN 6 2013 NGO 42 E CN 6 2013 NGO 43 E CN 6 2013 NGO 44 E CN 6 2013 NGO 45 E CN 6 2013 NGO 46 E CN 6 2013 NGO 47 E CN 6 2013 NGO 48 E CN 6 2013 NGO 49 E CN 6 2013 NGO 50 E CN 6 2013 NGO 51 E CN 6 2013 NGO 52 E CN 6 2013 NGO 53 E CN 6 2013 NGO 54 E CN 6 2013 NGO 55 E CN 6 2013 NGO 56 E CN 6 2013 NGO 57 E CN 6 2013 NGO 58 E CN 6 2013 NGO 59 E CN 6 2013 NGO 60 E CN 6 2013 NGO 61 E CN 6 2013 NGO 62 E CN 6 2013 NGO 63 E CN 6 2013 NGO 64 E CN 6 2013 NGO 65 E CN 6 2013 NGO 66 E CN 6 2013 NGO 67 E CN 6 2013 NGO 68 E CN 6 2013 NGO 69 E CN 6 2013 NGO 70 E CN 6 2013 NGO 71 E CN 6 2013 NGO 72 E CN 6 2013 NGO 73 E CN 6 2013 NGO 74 E CN 6 2013 NGO 75 E CN 6 2013 NGO 76 E CN 6 2013 NGO 77 E CN 6 2013 NGO 78 E CN 6 2013 NGO 79 E CN 6 2013 NGO 80 E CN 6 2013 NGO 81 E CN 6 2013 NGO 82 E CN 6 2013 NGO 83 E CN 6 2013 NGO 84 E CN 6 2013 NGO 85 E CN 6 2013 NGO 86 E CN 6 2013 NGO 87 E CN 6 2013 NGO 88 E CN 6 2013 NGO 89 E CN 6 2013 NGO 90 E CN 6 2013 NGO 91 E CN 6 2013 NGO 92 E CN 6 2013 NGO 93 E CN 6 2013 NGO 94 E CN 6 2013 NGO 95 E CN 6 2013 NGO 96 E CN 6 2013 NGO 97 E CN 6 2013 NGO 98 E CN 6 2013 NGO 99 E CN 6 2013 NGO 100 E CN 6 2013 NGO 101 E CN 6 2013 NGO 102 E CN 6 2013 NGO 103 E CN 6 2013 NGO 104 E CN 6 2013 NGO 105 E CN 6 2013 NGO 106 E CN 6 2013 NGO 107 E CN 6 2013 NGO 108 E CN 6 2013 NGO 109 E CN 6 2013 NGO 110 E CN 6 2013 NGO 111 E CN 6 2013 NGO 112 E CN 6 2013 NGO 113 E CN 6 2013 NGO 114 E CN 6 2013 NGO 115 E CN 6 2013 NGO 116 E CN 6 2013 NGO 117 E CN 6 2013 NGO 118 E CN 6 2013 NGO 119 E CN 6 2013 NGO 120 E CN 6 2013 NGO 121 E CN 6 2013 NGO 122 E CN 6 2013 NGO 123 E CN 6 2013 NGO 124 E CN 6 2013 NGO 125 E CN 6 2013 NGO 126 E CN 6 2013 NGO 127 E CN 6 2013 NGO 128 E CN 6 2013 NGO 129 E CN 6 2013 NGO 130 E CN 6 2013 NGO 131 E CN 6 2013 NGO 132 E CN 6 2013 NGO 133 E CN 6 2013 NGO 134 E CN 6 2013 NGO 135 E CN 6 2013 NGO 136 E CN 6 2013 NGO 137 E CN 6 2013 NGO 138 E CN 6 2013 NGO 139 E CN 6 2013 NGO 140 E CN 6 2013 NGO 141 E CN 6 2013 NGO 142 E CN 6 2013 NGO 143 E CN 6 2013 NGO 144 E CN 6 2013 NGO 145 E CN 6 2013 NGO 146 E CN 6 2013 NGO 147 E CN 6 2013 NGO 148 E CN 6 2013 NGO 149 E CN 6 2013 NGO 150 E CN 6 2013 NGO 151 E CN 6 2013 NGO 152 E CN 6 2013 NGO 153 E CN 6 2013 NGO 154 E CN 6 2013 NGO 155 E CN 6 2013 NGO 156 E CN 6 2013 NGO 157 E CN 6 2013 NGO 158 E CN 6 2013 NGO 159 E CN 6 2013 NGO 160 E CN 6 2013 NGO 161 E CN 6 2013 NGO 162 E CN 6 2013 NGO 163 E CN 6 2013 NGO 164 E CN 6 2013 NGO 165 E CN 6 2013 NGO 166 E CN 6 2013 NGO 167 E CN 6 2013 NGO 168 E CN 6 2013 NGO 169 E CN 6 2013 NGO 170 E CN 6 2013 NGO 171 E CN 6 2013 NGO 172 E CN 6 2013 NGO 173 E CN 6 2013 NGO 174 E CN 6 2013 NGO 175 E CN 6 2013 NGO 176 E CN 6 2013 NGO 177 E CN 6 2013 NGO 178 E CN 6 2013 NGO 179 E CN 6 2013 NGO 180 E CN 6 2013 NGO 181 E CN 6 2013 NGO 182 E CN 6 2013 NGO 183 E CN 6 2013 NGO 184 E CN 6 2013 NGO 185 E CN 6 2013 NGO 186 E CN 6 2013 NGO 187 E CN 6 2013 NGO 188 E CN 6 2013 NGO 189 E CN 6 2013 NGO 190 E CN 6 2013 NGO 191 E CN 6 2013 NGO 192 E CN 6 2013 NGO 193 E CN 6 2013 NGO 194 E CN 6 2013 NGO 195 E CN 6 2013 NGO 196 E CN 6 2013 NGO 197 E CN 6 2013 NGO 198 E CN 6 2013 NGO 199 E CN 6 2013 NGO 200 E CN 6 2013 NGO 201 E CN 6 2013 NGO 202 E CN 6 2013 NGO 203 E CN 6 2013 NGO 204 E CN 6 2013 NGO 205 E CN 6 2013 NGO 206 E CN 6 2013 NGO 207 E CN 6 2013 NGO 208 E CN 6 2013 NGO 209 E CN 6 2013 NGO 210 E CN 6 2013 NGO 211 E CN 6 2013 NGO 212 E CN 6 2013 NGO 213 E CN 6 2013 NGO 214 E CN 6 2013 NGO 215 E CN 6 2013 NGO 216 E CN 6 2013 NGO 217 E CN 6 2013 NGO 218 E CN 6 2013 NGO 219 E CN 6 2013 NGO 220 E CN 6 2013 NGO 221 E CN 6 2013 NGO 222 E CN 6 2013 NGO 223 E CN 6 2013 NGO 224 E CN 6 2013 NGO 225 E CN 6 2013 NGO 226 E CN 6 2013 NGO 227 and E CN 6 2013 NGO 228 Introductory statements by Under Secretary General and Executive Director of the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women Chair of the Committee on the Elimination of Discrimination against Women,B-short O O O B-short O O O B-short O O O B-short O O O B-short O O O B-short O O O B-short O O O B-short O O B-short O O O B-short O O O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O B-short O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O
1773,37 Twenty two schools in the United Kingdom participate in the UNESCO Associated Schools Projects Network ASPnet which was launched in 1953 the network includes over 7 983 educational institutions ranging from preschool education to teacher training in 175 countries,O O O O O O O O O O O B-short B-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O
1774,For example UNICEF will coordinate closely with the Pan American Health Organization PAHO the United Nations Population Fund UNFPA and the World Food Programme WFP in early childhood especially regarding maternal and neonatal mortality and the eradication of malnutrition UNICEF will work with the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women to ensure effective coordination of gender specific elements of the programme and also to ensure that a gender sensitive approach is applied,O O B-short O O O O O B-long I-long I-long I-long B-short O B-long I-long I-long I-long B-short O O B-long I-long I-long B-short O O O O O O O O O O O O O O B-short O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O
1775,Mr Bitrus Vandy Yohanna Nigeria Vice Chair of the Second Committee Moderator Ms Lakshmi Puri Assistant Secretary General and Deputy Executive Director for Intergovernmental Support and Strategic Partnerships United Nations Entity for Gender Equality and the Empowerment of Women UN-Women Panellists,O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O
1776,e Implementation of Agenda 21 adopted by the United Nations Conference on Environment and Development 1 f Implementation of the Consensus of Dakar adopted by the International Conference on Assistance to African Children g Implementation of United Nations New Agenda for the Development of Africa UN-NADAF,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long B-short
1777,Therefore critical levels remained concentration based for this receptor The workshop agreed on a new critical level of an AOT40 accumulated O3 concentration over the threshold of 40 parts per billio n ppb during daylight hours of 5 ppm.h parts per million hours over six months to prevent adverse effects on semi natural vegetation communities dominated by perennial species,O O O O O O O O O O O O O O O O O O O B-short B-long I-long I-long I-long I-long I-long I-long I-long B-long I-long I-long O B-short O O O O O B-short B-long I-long I-long I-long O O O O O O O O O O O O O O O O
1778,Bearing in mind the efforts made by other transport modes to reduce exhaust emissions from diesel engines as their technological development progresses Decides to amend the Recommendations on Technical Requirements for Inland Navigation Vessels by the text contained in the annex to this resolution Asks the World Forum for Harmonization of Vehicle Regulations WP.29 to consider possible extension in the future of its relevant binding Regulations to emission of gaseous and particulate pollutants from compression ignition C.I. engines used on board inland navigation vessels,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O B-long I-long B-short O O O O O O O
1779,1 212 906 3642 UNU Midday Forum on Realizing the development potential of diasporas organized by the United Nations University Office in New York UNU-ONY Wednesday 13 April 2011 from 1 15 to 2 30 p.m. in Conference Room 5 NLB,O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O B-short O O O O B-short
1780,For low pressure liquefied gases for which filling data are not available provided in the table the maximum filling ratio shall be determined as follows FR 0 0032 x BP 0 24 x d1 BP boiling point in Kelvin d1 density of the liquid at boiling point in kg/l,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short B-long I-long O O B-short B-long O O O O O O O B-short
1781,I would also like to congratulate Ambassador Hisashi Owada of Japan Chairman of the Ad Hoc Committee of the General Assembly for the Mid term Review of the Implementation of the United Nations New Agenda for the Development of Africa in the 1990s and his Bureau for the excellent report before this Assembly It must be pointed out from the outset that while the United Nations New Agenda for the Development of Africa in the 1990s UN-NADAF was a laudable initiative it lacked a clear operational framework both within the United Nations system itself and at the country level,O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long O O O B-short O O O O O O O O O O O O O O O O O O O O O O
1782,2 Fellow of the Nigerian Institute of Administration F.N.I.A. Hobbies,O B-long I-long I-long I-long I-long I-long I-long B-short O
1783,Operational capacity The UNAMI expansion envisaged in the strategic vision and concept of operations for 2009 comprises the continuation of United Nations offices in Baghdad Erbil Kuwait and Amman the reopening of the office in Basra presences in Kirkuk and the establishment of new locations in Mosul Ramadi and Najaf and it is envisaged that staff will make use of existing facilities of the Multinational Forces in Iraq MNF-I already in place in these locations,O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long B-short O O O O O O
1784,15 Contributions to the Trust Fund are subject to a l3 per cent charge for programme support unless otherwise agreed through the United Nations Office for Project Services UNOPS support,O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long B-short O
1785,All five ECA subregional offices SROs recorded concrete achievements in the implementation of the multi-year programme of cooperation MYP with their corresponding RECs addressing such issues as the Millennium Development Goals MDGs gender governance trade regional integration statistics information and communications technology ICT and science and technology Some of the SROs have also established subregional coordination mechanisms as mandated by the Regional Coordination Mechanism of United Nations Agencies and Organizations Working in Africa RCM-Africa,O O B-short B-long I-long B-short O O O O O O O O B-long I-long O O B-short O O O B-short O O O O O B-long I-long I-long B-short O O O O O O B-long I-long I-long I-long B-short O O O O O O O B-short O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short
1786,The following standard indicators should be used where data are not entered NE not estimated for existing emissions by sources and removal by sinks of greenhouse gases which have not been estimated Where NE is used in an inventory for emissions or removals of CO2 N2O CH4 HFCs PFCs or SF6 the Party should indicate using the completeness table 9 why emissions could not be estimated,O O O O O O O O O O O O B-short B-long I-long O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O B-short B-short B-short B-short B-long O B-short O O O O O O O O O O O O O O O
1787,Number of disabled children An overview of the estimated number of disabled children aged up to 14 in the Netherlands Antilles N.A. is given in the table below Total,O O O O O O O O O O O O O O O O O O O B-long I-long B-short O O O O O O O
1788,1 212 963 4607 or visit the following Web site www un org esa socdev social intldays IntlDay 2010 html UNU Worldwide in New York Series on Climate change and low income countries organized by the United Nations University Office in New York UNU-ONY Monday 18 October 2010 from 1 15 to 2 30 p.m. in Conference Room 7 NLB,O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O B-short O O O O B-short
1789,flexible legform impactor provisions Submitted by the expert from Japan The text reproduced below was prepared by the expert from Japan in order to propose the use of the Flexible Pedestrian Legform Impactor FlexPLI in the global technical regulation gtr No. 9 pedestrian safety,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long B-short O O O O O B-short B-short O O O
1790,Proposal for Supplement 3 to the 07 series of amendments Submitted by the experts from the International Organization of Motor Vehicle Manufacturers and Germany The text reproduced below was prepared by the experts from the International Organization of Motor Vehicle Manufacturers OICA and from Germany regarding the marking of ISOFIX top tether,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long B-short O O O O O O O B-short O O
1791,a Subregional activities for development in Central Africa 73 During the period under review the ECA Subregional Office for Central Africa SRO-CA continued to provide capacity building support to member States and the RECs on a wide range of development issues with particular focus on infrastructure development transport trade policies rationalization of RECs promoting macroeconomic policy convergence free movement of people use of ICT for development and post conflict reconstruction,O O O O O O O O O O O O O O O B-short B-long I-long I-long I-long I-long B-short O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O B-short O O O O O O
1792,Project activities were sometimes initiated prior to obtaining the requisite signatures The launch of Atlas ERP the Enterprise Resource Planning system with effect from January 2004 enables better monitoring of programme approval processes,O O O O O O O O O O O O O O O B-short O B-long I-long I-long O O O O O O O O O O O O O
1793,Housing programmes provided by the Cyprus Land Development Corporation 313 The Cyprus Land Development Corporation C.L.D.C. established in 1980 provides social housing for the needs of low and medium income families,O O O O O O O O O O O B-long I-long I-long I-long B-short O O O O O O O O O O O O O O O
1794,FORMAT Font looks strange The notified regulatory action relates to diphenyl ether pentabromo derivatives PentaBDE and their industrial use,O O O O O O O O O O O O B-long I-long B-short O O O O
1795,The Department of Peacekeeping Operations will provide an informal briefing to members of the Special Committee on Peacekeeping Operations on the topics of HIV/AIDS issues in peacekeeping operations and training materials on the prevention of sexual exploitation and abuse and HIV/AIDS today 13 January 2011 at 3 p.m. in Conference Room 1 NLB United Nations Entity for Gender Equality and the Empowerment of Women UN-Women Executive Board,O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O O O B-short O O O O O O B-short O O O O B-short B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O
1796,Indicator 6 7 Proportion of children under five sleeping under insecticide treated bednets 59 The number of African households with at least one Insecticide Treated Net ITNs increased from 17 per cent in 2007 to 31 per cent in 2008,O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long B-short O O O O O O O O O O O O O
1797,Past resolutions presidential statements of the Security Council and relevant reports of the Secretary General on cooperation between the United Nations and regional and other organizations can be useful references Background With 57 member States from four continents OIC formerly Organization of the Islamic Conference is the second largest intergovernmental organization after the United Nations see www oic oci org,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O B-long I-long I-long I-long I-long O O O O O O O O O O O O O O O
1798,National Association of Rural and Indigenous Women ANAMURI Center for the Development of Women DOMOS Centro de Estudios de la Mujer CEM Centre for Research on the Development of Women CEDEM,B-long I-long I-long I-long I-long I-long I-long B-short B-long I-long I-long I-long I-long I-long B-short B-long I-long I-long I-long I-long I-long B-short B-long I-long I-long I-long I-long I-long I-long I-long B-short
1799,459 3 The International Plans of Action IPOAs 63 There have been four IPOAs elaborated within the framework of the FAO Code of Conduct for Responsible Fisheries as envisaged by article 2 d IPOA-IUU art.,O O O B-long I-long I-long I-long B-short O O O O O B-short O O O O O O B-short O O O O O O O O O O O O B-short B-short
1800,The budget proposal reflects gains due to the reduction of one fixed wing aircraft One of the main tasks for the MINURSO Antonov AN 24 passenger aircraft was the transportation of beneficiaries under the UNHCR confidence building measures programme on a cost reimbursable basis however following the chartering of a larger plane by UNHCR this task is now redundant,O O O O O O O O O O O O O O O O O O O O O B-short B-long B-short O O O O O O O O O O B-short O O O O O O O O O O O O O O O O O O B-short O O O O O
1801,UNU Worldwide in New York Panel discussion on Fault lines of international legitimacy How legitimate are international organizations organized by the United Nations University Office in New York UNU-ONY Thursday 25 February 2010 from 10 a.m. to 12 noon in Conference Room D TNLB,B-short O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long B-short O O O O O O B-short O O O O O O O B-short
